Month,World,NA,SA,Eur,Pac,China
Jan-10,169,102,12,52,3,
Feb-10,187,115,13,55,4,
Mar-10,210,128,15,61,6,
Apr-10,226,136,16,67,7,
May-10,232,137,17,73,5,
Jun-10,261,151,19,82,9,
Jul-10,245,140,18,80,7,
Aug-10,223,128,16,76,3,
Sep-10,195,103,15,73,4,
Oct-10,174,96,14,62,2,
Nov-10,154,84,11,59,0,
Dec-10,163,99,9,54,1,
Jan-11,195,123,10,59,3,
Feb-11,221,141,13,62,5,
Mar-11,240,152,16,66,6,
Apr-11,264,163,20,70,11,
May-11,283,178,22,75,8,
Jun-11,296,170,28,86,12,
Jul-11,269,153,25,81,10,
Aug-11,256,146,23,79,8,
Sep-11,231,131,20,73,7,
Oct-11,214,125,16,68,5,
Nov-11,201,118,13,66,4,
Dec-11,171,96,11,61,3,
Jan-12,200,112,15,66,4,3
Feb-12,216,117,18,71,6,4
Mar-12,234,126,20,76,9,3
Apr-12,253,138,23,79,11,2
May-12,282,152,26,85,14,5
Jun-12,305,163,30,91,15,6
Jul-12,296,156,28,89,18,5
Aug-12,279,148,26,86,15,4
Sep-12,266,143,24,82,13,4
Oct-12,243,131,21,76,12,3
Nov-12,232,128,18,73,10,3
Dec-12,203,107,15,70,7,4
Jan-13,216,110,19,74,8,5
Feb-13,239,123,23,79,10,4
Mar-13,266,138,26,83,13,6
Apr-13,284,150,30,88,11,5
May-13,315,169,33,91,15,7
Jun-13,340,181,37,95,19,8
Jul-13,319,169,34,92,17,7
Aug-13,304,160,32,90,15,7
Sep-13,277,141,29,87,14,6
Oct-13,250,123,26,83,12,6
Nov-13,228,112,24,77,10,5
Dec-13,213,105,23,74,7,4
Jan-14,240,121,26,80,8,5
Feb-14,251,126,28,82,10,5
Mar-14,281,148,31,85,12,5
Apr-14,298,155,35,89,13,6
May-14,322,168,39,95,12,8
Jun-14,350,183,43,98,15,11
Jul-14,330,170,41,95,14,10
Aug-14,311,158,38,93,13,9
Sep-14,289,149,33,89,11,7
Oct-14,265,136,30,85,8,6
Nov-14,239,121,26,80,7,5
Dec-14,219,108,23,76,7,5
